<<<<<<< HEAD
Ticker,Name,Weight (%),Positive Headlines,Neutral Headlines,Negative Headlines,Total Articles,Sentiment Score
ABT,ABBOTT LABORATORIES,0.44,1,6,2,9,-0.041018174754248724
GE,GE AEROSPACE,0.43,3,11,0,14,0.18462541699409485
MRK,MERCK & CO INC,0.43,6,5,3,14,0.23379841872623988
TMO,THERMO FISHER SCIENTIFIC INC,0.43,4,7,1,12,0.23796801269054413
LIN,LINDE PLC,0.42,4,9,1,14,0.19761819073132106
MCD,MCDONALDS CORP,0.41,8,5,3,16,0.2300780788064003
NOW,SERVICENOW INC,0.41,4,10,4,18,-0.003653354114956326
ISRG,INTUITIVE SURGICAL INC,0.41,3,8,2,13,0.11030529554073627
GS,GOLDMAN SACHS GROUP INC,0.4,0,5,0,5,0.0
PEP,PEPSICO INC,0.39,1,9,4,14,-0.18595361709594727
DIS,WALT DISNEY,0.39,4,7,1,12,0.23597805202007294
ADBE,ADOBE INC,0.37,1,11,0,12,0.07737582425276439
QCOM,QUALCOMM INC,0.37,4,4,1,9,0.2730479836463928
AXP,AMERICAN EXPRESS,0.34,1,6,3,10,-0.15885307192802428
T,AT&T INC,0.34,9,10,1,20,0.31320754885673524
CAT,CATERPILLAR INC,0.34,2,7,8,17,-0.35116634474081154
AMD,ADVANCED MICRO DEVICES INC,0.34,3,6,3,12,-0.0931364893913269
MS,MORGAN STANLEY,0.34,0,5,1,6,-0.15562556187311807
RTX,RTX CORP,0.33,4,8,2,14,0.13308769464492798
VZ,VERIZON COMMUNICATIONS INC,0.33,0,7,0,7,0.0
SPGI,S&P GLOBAL INC,0.32,1,2,0,3,0.3182337284088135
TXN,TEXAS INSTRUMENT INC,0.32,1,9,1,11,0.0023310292850841174
INTU,INTUIT INC,0.32,6,7,2,15,0.2435824155807495
BKNG,BOOKING HOLDINGS INC,0.32,2,2,2,6,-0.05009950200716654
UBER,UBER TECHNOLOGIES INC,0.31,5,7,2,14,0.1914500594139099
AMGN,AMGEN INC,0.31,3,9,2,14,0.04035356640815735
BSX,BOSTON SCIENTIFIC CORP,0.3,6,5,2,13,0.3348479110461015
C,CITIGROUP INC,0.3,4,7,9,20,-0.2077316850423813
AMAT,APPLIED MATERIAL INC,0.29,4,5,0,9,0.3735244075457255
UNP,UNION PACIFIC CORP,0.29,2,10,2,14,0.011880661760057722
PGR,PROGRESSIVE CORP,0.29,3,9,1,13,0.14602414461282584
PFE,PFIZER INC,0.29,3,3,4,10,-0.13651963472366332
BLK,BLACKROCK INC,0.28,1,1,0,2,0.4496813118457794
LOW,LOWES COMPANIES INC,0.28,9,7,0,16,0.4234408847987652
TJX,TJX INC,0.28,9,5,0,14,0.5698840831007276
NEE,NEXTERA ENERGY INC,0.27,5,7,1,13,0.25414793766461885
BA,BOEING,0.27,4,3,0,7,0.4948117307254246
CMCSA,COMCAST CORP CLASS A,0.26,3,6,2,11,0.06213777173649181
FI,FISERV INC,0.26,10,6,2,18,0.3766169034772449
DHR,DANAHER CORP,0.26,4,6,4,14,0.025697227035249983
HON,HONEYWELL INTERNATIONAL INC,0.26,2,6,4,12,-0.1737325886885325
SYK,STRYKER CORP,0.26,8,5,2,15,0.3944882909456889
SBUX,STARBUCKS CORP,0.25,2,2,0,4,0.4498668760061264
COP,CONOCOPHILLIPS,0.25,6,9,0,15,0.3553999384244283
PANW,PALO ALTO NETWORKS INC,0.25,3,8,0,11,0.21236375245180997
ADP,AUTOMATIC DATA PROCESSING INC,0.24,8,7,2,17,0.3300016329568975
SCHW,CHARLES SCHWAB CORP,0.24,2,11,3,16,-0.06932557374238968
ETN,EATON PLC,0.24,7,6,1,14,0.36744734219142366
BX,BLACKSTONE INC,0.24,1,7,0,8,0.11824865639209747
ANET,ARISTA NETWORKS INC,0.24,3,2,1,6,0.29046709338823956
VRTX,VERTEX PHARMACEUTICALS INC,0.24,4,7,0,11,0.3368355631828308
MDT,MEDTRONIC PLC,0.23,4,5,0,9,0.3524734112951491
BMY,BRISTOL MYERS SQUIBB,0.23,4,7,3,14,0.10211731493473053
DE,DEERE,0.23,5,7,3,15,0.11850433746973674
TMUS,T MOBILE US INC,0.23,2,8,0,10,0.1612501859664917
GILD,GILEAD SCIENCES INC,0.23,5,8,0,13,0.3222883756344135
MMC,MARSH & MCLENNAN INC,0.22,2,8,0,10,0.19123226404190063
PLD,PROLOGIS REIT INC,0.21,4,4,2,10,0.21772984862327577
LRCX,LAM RESEARCH CORP,0.21,6,9,0,15,0.3190404733022054
GEV,GE VERNOVA INC,0.2,4,2,1,7,0.3530555622918265
MU,MICRON TECHNOLOGY INC,0.2,5,5,3,13,0.08298414945602417
ADI,ANALOG DEVICES INC,0.2,5,6,2,13,0.19844761261573204
CB,CHUBB LTD,0.2,4,7,3,14,0.05477174265044076
KKR,KKR AND CO INC,0.2,6,3,3,12,0.2712787042061488
KLAC,KLA CORP,0.2,7,4,0,11,0.5509551546790383
ICE,INTERCONTINENTAL EXCHANGE INC,0.19,9,5,0,14,0.5943597768034253
=======
Ticker,Name,Weight (%),Positive Headlines,Neutral Headlines,Negative Headlines,Total Articles,Sentiment Score
AAPL,APPLE INC,6.73,0,2,0,2,0.0
NVDA,NVIDIA CORP,6.23,1,2,1,4,-0.05105625092983246
MSFT,MICROSOFT CORP,5.96,0,2,0,2,0.0
AMZN,AMAZON COM INC,4.2,0,4,1,5,-0.16477012634277344
META,META PLATFORMS INC CLASS A,3.05,1,5,4,10,-0.23454985916614532
GOOGL,ALPHABET INC CLASS A,2.12,4,2,2,8,0.20250240713357925
AVGO,BROADCOM INC,2.06,3,6,0,9,0.27161266406377155
TSLA,TESLA INC,1.98,1,2,1,4,-0.05873177945613861
GOOG,ALPHABET INC CLASS C,1.74,4,3,2,9,0.18000213967429268
BRKB,BERKSHIRE HATHAWAY INC CLASS B,1.69,0,0,0,0,0.0
JPM,JPMORGAN CHASE & CO,1.52,1,5,1,7,-0.037692291396004815
LLY,ELI LILLY,1.35,5,5,3,13,0.17605997507388776
V,VISA INC CLASS A,1.18,5,13,2,20,0.15041614323854446
UNH,UNITEDHEALTH GROUP INC,0.95,1,9,2,12,-0.05250681936740875
XOM,EXXON MOBIL CORP,0.94,1,6,1,8,-0.002864360809326172
COST,COSTCO WHOLESALE CORP,0.91,4,9,0,13,0.2753106722464928
MA,MASTERCARD INC CLASS A,0.9,4,8,1,13,0.22870514943049505
WMT,WALMART INC,0.86,2,7,0,9,0.20679757330152723
NFLX,NETFLIX INC,0.85,2,3,0,5,0.31713387966156004
HD,HOME DEPOT INC,0.79,2,6,3,11,-0.05227017944509333
PG,PROCTER & GAMBLE,0.77,0,13,1,14,-0.05845515217099871
JNJ,JOHNSON & JOHNSON,0.72,1,8,3,12,-0.14477780958016714
ABBV,ABBVIE INC,0.66,3,8,0,11,0.2193518497727134
BAC,BANK OF AMERICA CORP,0.62,0,5,0,5,0.0
CRM,SALESFORCE INC,0.61,3,2,1,6,0.31062286098798114
ORCL,ORACLE CORP,0.55,3,4,0,7,0.31253609486988615
WFC,WELLS FARGO,0.53,0,7,2,9,-0.1995587944984436
CVX,CHEVRON CORP,0.5,3,4,1,8,0.18542401492595673
CSCO,CISCO SYSTEMS INC,0.49,4,7,0,11,0.30321939425034955
KO,COCA-COLA,0.48,1,5,0,6,0.15830369790395102
ACN,ACCENTURE PLC CLASS A,0.47,5,6,1,12,0.2720826913913091
IBM,INTERNATIONAL BUSINESS MACHINES CO,0.46,4,9,1,14,0.18880491597311838
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,0.44,2,2,2,6,-0.013830125331878662
PM,PHILIP MORRIS INTERNATIONAL INC,0.44,7,5,1,13,0.4346283903488746
ABT,ABBOTT LABORATORIES,0.44,1,6,2,9,-0.041018174754248724
GE,GE AEROSPACE,0.43,3,11,0,14,0.18462541699409485
MRK,MERCK & CO INC,0.43,6,5,3,14,0.23379841872623988
TMO,THERMO FISHER SCIENTIFIC INC,0.43,4,7,1,12,0.23796801269054413
LIN,LINDE PLC,0.42,4,9,1,14,0.19761819073132106
MCD,MCDONALDS CORP,0.41,8,5,3,16,0.2300780788064003
NOW,SERVICENOW INC,0.41,4,10,4,18,-0.003653354114956326
ISRG,INTUITIVE SURGICAL INC,0.41,3,8,2,13,0.11030529554073627
GS,GOLDMAN SACHS GROUP INC,0.4,0,5,0,5,0.0
PEP,PEPSICO INC,0.39,1,9,4,14,-0.18595361709594727
DIS,WALT DISNEY,0.39,4,7,1,12,0.23597805202007294
ADBE,ADOBE INC,0.37,1,11,0,12,0.07737582425276439
QCOM,QUALCOMM INC,0.37,4,4,1,9,0.2730479836463928
AXP,AMERICAN EXPRESS,0.34,1,6,3,10,-0.15885307192802428
T,AT&T INC,0.34,9,10,1,20,0.31320754885673524
CAT,CATERPILLAR INC,0.34,2,7,8,17,-0.35116634474081154
AMD,ADVANCED MICRO DEVICES INC,0.34,3,6,3,12,-0.0931364893913269
MS,MORGAN STANLEY,0.34,0,5,1,6,-0.15562556187311807
RTX,RTX CORP,0.33,4,8,2,14,0.13308769464492798
VZ,VERIZON COMMUNICATIONS INC,0.33,0,7,0,7,0.0
SPGI,S&P GLOBAL INC,0.32,1,2,0,3,0.3182337284088135
TXN,TEXAS INSTRUMENT INC,0.32,1,9,1,11,0.0023310292850841174
INTU,INTUIT INC,0.32,6,7,2,15,0.2435824155807495
BKNG,BOOKING HOLDINGS INC,0.32,2,2,2,6,-0.05009950200716654
UBER,UBER TECHNOLOGIES INC,0.31,5,7,2,14,0.1914500594139099
AMGN,AMGEN INC,0.31,3,9,2,14,0.04035356640815735
BSX,BOSTON SCIENTIFIC CORP,0.3,6,5,2,13,0.3348479110461015
C,CITIGROUP INC,0.3,4,7,9,20,-0.2077316850423813
AMAT,APPLIED MATERIAL INC,0.29,4,5,0,9,0.3735244075457255
UNP,UNION PACIFIC CORP,0.29,2,10,2,14,0.011880661760057722
PGR,PROGRESSIVE CORP,0.29,3,9,1,13,0.14602414461282584
PFE,PFIZER INC,0.29,3,3,4,10,-0.13651963472366332
BLK,BLACKROCK INC,0.28,1,1,0,2,0.4496813118457794
LOW,LOWES COMPANIES INC,0.28,9,7,0,16,0.4234408847987652
TJX,TJX INC,0.28,9,5,0,14,0.5698840831007276
NEE,NEXTERA ENERGY INC,0.27,5,7,1,13,0.25414793766461885
BA,BOEING,0.27,4,3,0,7,0.4948117307254246
CMCSA,COMCAST CORP CLASS A,0.26,3,6,2,11,0.06213777173649181
FI,FISERV INC,0.26,10,6,2,18,0.3766169034772449
DHR,DANAHER CORP,0.26,4,6,4,14,0.025697227035249983
HON,HONEYWELL INTERNATIONAL INC,0.26,2,6,4,12,-0.1737325886885325
SYK,STRYKER CORP,0.26,8,5,2,15,0.3944882909456889
SBUX,STARBUCKS CORP,0.25,2,2,0,4,0.4498668760061264
COP,CONOCOPHILLIPS,0.25,6,9,0,15,0.3553999384244283
PANW,PALO ALTO NETWORKS INC,0.25,3,8,0,11,0.21236375245180997
ADP,AUTOMATIC DATA PROCESSING INC,0.24,8,7,2,17,0.3300016329568975
SCHW,CHARLES SCHWAB CORP,0.24,2,11,3,16,-0.06932557374238968
ETN,EATON PLC,0.24,7,6,1,14,0.36744734219142366
BX,BLACKSTONE INC,0.24,1,7,0,8,0.11824865639209747
ANET,ARISTA NETWORKS INC,0.24,3,2,1,6,0.29046709338823956
VRTX,VERTEX PHARMACEUTICALS INC,0.24,4,7,0,11,0.3368355631828308
MDT,MEDTRONIC PLC,0.23,4,5,0,9,0.3524734112951491
BMY,BRISTOL MYERS SQUIBB,0.23,4,7,3,14,0.10211731493473053
DE,DEERE,0.23,5,7,3,15,0.11850433746973674
TMUS,T MOBILE US INC,0.23,2,8,0,10,0.1612501859664917
GILD,GILEAD SCIENCES INC,0.23,5,8,0,13,0.3222883756344135
MMC,MARSH & MCLENNAN INC,0.22,2,8,0,10,0.19123226404190063
PLD,PROLOGIS REIT INC,0.21,4,4,2,10,0.21772984862327577
LRCX,LAM RESEARCH CORP,0.21,6,9,0,15,0.3190404733022054
GEV,GE VERNOVA INC,0.2,4,2,1,7,0.3530555622918265
MU,MICRON TECHNOLOGY INC,0.2,5,5,3,13,0.08298414945602417
ADI,ANALOG DEVICES INC,0.2,5,6,2,13,0.19844761261573204
CB,CHUBB LTD,0.2,4,7,3,14,0.05477174265044076
KKR,KKR AND CO INC,0.2,6,3,3,12,0.2712787042061488
KLAC,KLA CORP,0.2,7,4,0,11,0.5509551546790383
ICE,INTERCONTINENTAL EXCHANGE INC,0.19,9,5,0,14,0.5943597768034253
>>>>>>> 2eab7beab1b6e80fb679d7e97d3b878386c0724b
